"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/street/blaauwlaken-steeg/5634",,"yes","yes",,,,
"https://adamlink.nl/geo/street/blaauwlakensteeg/5841",,,,"yes",,,
"https://adamlink.nl/geo/street/blaeustraat/484",,,"yes",,,,
"https://adamlink.nl/geo/street/blauwburgwal/489",,"yes",,,,,
"https://adamlink.nl/geo/street/blauwehanengang/7828",,,,"yes",,,
"https://adamlink.nl/geo/street/blauwehuizengang/7830",,,,"yes",,,
"https://adamlink.nl/geo/street/blauweloods/7831",,,,"yes",,,
"https://adamlink.nl/geo/street/bleekersgang/7832",,,,"yes",,,
"https://adamlink.nl/geo/street/bleekersgang/7833",,,,"yes",,,
"https://adamlink.nl/geo/street/bleekersgang/7834",,,,"yes",,,
"https://adamlink.nl/geo/street/blekersgang/5946",,,,,,"yes","no"
"https://adamlink.nl/geo/street/blinde-katersteeg/5782",,,"yes","yes",,,
"https://adamlink.nl/geo/street/blindemansteeg/499",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bloedstraat/500",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bloemgracht/503",,"yes",,,,,
"https://adamlink.nl/geo/street/bloemmarkt/6353",,"yes",,,,,
"https://adamlink.nl/geo/street/bloempottengang/6874",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/bloemstraat/504",,"yes","yes",,,,
"https://adamlink.nl/geo/street/blokjesmakersgang/7835",,,,"yes",,,
"https://adamlink.nl/geo/street/boekdrukkersgang/6761",,,,"yes","no",,
"https://adamlink.nl/geo/street/boerengang/7836",,,,"yes",,,
"https://adamlink.nl/geo/street/boerensteeg/518",,"yes","yes",,,,
"https://adamlink.nl/geo/street/boerensteeg/7004",,"yes","yes","yes",,,
"https://adamlink.nl/geo/street/boger-steegje/5632",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bokkengang/6877",,,,"yes","no",,
"https://adamlink.nl/geo/street/bokkinghangen/527",,,"yes",,,,
"https://adamlink.nl/geo/street/bonnettengang/6740",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/bontekalfsvelsgang/7838",,,,"yes",,,
"https://adamlink.nl/geo/street/bontekoegang/6945",,,,"yes",,,
"https://adamlink.nl/geo/street/bontwerkersgang/6839",,,,"yes",,,
"https://adamlink.nl/geo/street/boompjesgang/7839",,,,"yes",,,
"https://adamlink.nl/geo/street/boomsteeg/542",,"yes","yes",,,,
"https://adamlink.nl/geo/street/boomstraat/543",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bossengang/6870",,,,"yes","no",,
"https://adamlink.nl/geo/street/boter-en-kaasgang/6672",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/botertonsgang/7840",,,,"yes",,,
"https://adamlink.nl/geo/street/brabantspad/6990","yes","no",,,,,
"https://adamlink.nl/geo/street/brandersgang/7841",,,,"yes",,,
"https://adamlink.nl/geo/street/brandewijnsteeg/595",,"yes","yes",,,,
"https://adamlink.nl/geo/street/brandewyns-steeg/5455",,"yes","yes","yes",,,
"https://adamlink.nl/geo/street/brandgang/7842",,,,"yes",,,
"https://adamlink.nl/geo/street/brederosgang/7843",,,,"yes",,,
"https://adamlink.nl/geo/street/breestraat/6973","yes","no",,,,,
"https://adamlink.nl/geo/street/bremertuin/7844",,,,"yes",,,
"https://adamlink.nl/geo/street/brillengang/6668",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/brouwersgracht/623",,"yes",,,,,
"https://adamlink.nl/geo/street/brouwerssteeg/5723",,"yes","yes",,,,
"https://adamlink.nl/geo/street/brouwersstraat/7056",,,"yes",,,,
"https://adamlink.nl/geo/street/brownisten-gang/5417",,,,"yes",,,
"https://adamlink.nl/geo/street/buiten-bantammerstraat/639",,,"yes",,,,
"https://adamlink.nl/geo/street/burgergang/7846",,,,"yes",,,
"https://adamlink.nl/geo/street/buyssestraat/7018",,"yes","yes",,,,
"https://adamlink.nl/geo/street/cellebroerssteeg/725",,"yes","yes",,,,
"https://adamlink.nl/geo/street/corteinspad/6982","yes","no",,,,,
"https://adamlink.nl/geo/street/cruys-pad/6979","yes","no",,,,,
"https://adamlink.nl/geo/street/dam/880","yes","yes",,,,,
"https://adamlink.nl/geo/street/damrak/882","yes","yes",,,,,
"https://adamlink.nl/geo/street/damraksteeg/883",,"yes","yes",,,,
"https://adamlink.nl/geo/street/damsluis/6027",,"yes",,,,,
"https://adamlink.nl/geo/street/damstraat/884","yes","yes","yes",,,,
"https://adamlink.nl/geo/street/dankelmansgang/7044",,,,"yes",,,
"https://adamlink.nl/geo/street/danswijkersgang/6864",,,,"yes","no",,
"https://adamlink.nl/geo/street/de-hel/7009",,"yes","yes",,,,
"https://adamlink.nl/geo/street/delftse-veer/7047",,"yes",,,,,
"https://adamlink.nl/geo/street/derde-goudsbloemdwarsstraat/964",,,"yes",,,,
"https://adamlink.nl/geo/street/derde-kattenburgerdwarsstraat/5734",,,"yes",,,,
"https://adamlink.nl/geo/street/derde-klooster/5440",,,"yes",,,,
"https://adamlink.nl/geo/street/derde-leliedwarsstraat/969",,,"yes",,,,
"https://adamlink.nl/geo/street/derde-looiersdwarsstraat/970",,"yes",,,,,
"https://adamlink.nl/geo/street/deventer-houtmarkt/6119","yes","yes",,,,,
"https://adamlink.nl/geo/street/dijkdwarsstraat/1004",,"yes","yes",,,,
"https://adamlink.nl/geo/street/dijkstraat/1009","yes","yes","yes",,,,
"https://adamlink.nl/geo/street/dirk-van-hasseltssteeg/1026",,"yes","yes",,,,
"https://adamlink.nl/geo/street/disselgang-eerste/7848",,,,"yes",,,
"https://adamlink.nl/geo/street/disselgang-tweede/7849",,,,"yes",,,
