"Bloem Mart",https://adamlink.nl/geo/street/bloemmarkt/6353
Weeshuys,
"Calver Str.",https://adamlink.nl/geo/street/kalverstraat/2269
"Rotterdammer Veer",https://adamlink.nl/geo/street/rotterdammer-veer/7046
"Delftsche Veer",https://adamlink.nl/geo/street/delftse-veer/7047
"Haagsche Veer",https://adamlink.nl/geo/street/haagse-veer/7048
"Heilige Stede",
Rockin,https://adamlink.nl/geo/street/rokin/3867
"Deventer Houtmart",https://adamlink.nl/geo/street/deventer-houtmarkt/6119
Lakenhal,
Beurs,
Leenbanck,
"S. Pieters Kerck",
"Wortel Mart",https://adamlink.nl/geo/street/wortelmarkt/7049
Vogelmart,https://adamlink.nl/geo/street/vogelmarkt/7050
"Groote Hal",
"Gans Oort",https://adamlink.nl/geo/street/gansoord/6996
"Oude Camer",
"Warmoes Straet",https://adamlink.nl/geo/street/warmoesstraat/4883
Dam,https://adamlink.nl/geo/street/dam/880
"’t Stadthuys",
Wisselbanck,
"Nieuwen Dyck",https://adamlink.nl/geo/street/nieuwendijk/3198
Damsrack,https://adamlink.nl/geo/street/damrak/882
"Dams Sluys",https://adamlink.nl/geo/street/damsluis/6027
Vygendam,https://adamlink.nl/geo/street/vijgendam/5714
"Oudesydts Voor Burchwal",https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409
"Bier Kay",https://adamlink.nl/geo/street/bier-kay/5689
"Oude Kerck",
"op ’t Waeter",https://adamlink.nl/geo/street/damrak/882
"Coren Beurs",
"Oude Brugh",
"Nieuwe Brugh",
Teertuynen,https://adamlink.nl/geo/street/oude-teertuinen/5680
Wachth.,
"Hout Tuynen",https://adamlink.nl/geo/street/texelschekade/5793
"Oude-sydts Kolck",https://adamlink.nl/geo/street/oudezijds-kolk/3408
"Camper Hooft",https://adamlink.nl/geo/street/kamperhoofd/5681
"Lynbaens Graft",https://adamlink.nl/geo/street/lijnbaansgracht/2698
"Elants Graft",https://adamlink.nl/geo/street/elandsgracht/1231
"Laurier Graft",https://adamlink.nl/geo/street/lauriergracht/2630
Wachthuys,
"Nieuwe Hal",
"Lely Graft",https://adamlink.nl/geo/street/leliegracht/2668
"Cingel ofte Conincx Graft",https://adamlink.nl/geo/street/singel/4088
"Papen Brugh",
"Roaensche Kay",https://adamlink.nl/geo/street/rouaanse-kade/7052
"Ian Roon Poorts tooren",
Kolck,https://adamlink.nl/geo/street/nieuwezijds-kolk/3206
"Nieuwe-sijdts Kolck",https://adamlink.nl/geo/street/nieuwezijds-kolk/3206
"Nts Voor Burghwal",https://adamlink.nl/geo/street/nieuwezijds-voorburgwal/3207
"Nts Achter Burghwal",https://adamlink.nl/geo/street/spuistraat/4276
"N. Dyck",https://adamlink.nl/geo/street/nieuwendijk/3198
"’t Catte Gat",https://adamlink.nl/geo/street/kattengat/2322
"Harinck Packery",https://adamlink.nl/geo/street/haringpakkerij/5676
"Sparen Dammer brugh",
"Elants dwars Burghwal",https://adamlink.nl/geo/street/derde-looiersdwarsstraat/970
"Wester Marckt",https://adamlink.nl/geo/street/westermarkt/4962
"Wester Kerck",
"Lely Sluys",
"Blaeuwe Burchwal",https://adamlink.nl/geo/street/blauwburgwal/489
"Lange Straet",https://adamlink.nl/geo/street/langestraat/2616
"Dwars Lange Straet",https://adamlink.nl/geo/street/roomolenstraat/3875
"Nieuwe Haerlemmer Sluys",https://adamlink.nl/geo/street/nieuwe-haarlemmersluis/6960
"Haerlemmer Straet",https://adamlink.nl/geo/street/haarlemmerstraat/1629
"Varcken mart",https://adamlink.nl/geo/street/herenmarkt/1769
"West-Indisch Huys",
"Harinckpackery tooren",
"Stadts Herbergh",
"Roose Graft",https://adamlink.nl/geo/street/rozengracht/3899
"Bloem Graft",https://adamlink.nl/geo/street/bloemgracht/503
"Eglentiers Graft",https://adamlink.nl/geo/street/egelantiersgracht/1209
"Angeliers Graft",https://adamlink.nl/geo/street/westerstraat/4964
"Noorder Kerck",
Kerckhof,
"Brouwers Sluys",
"Nieuwe Wael",
"Bulleback Sluys",
"’t Giethuys",
Carthusers,
"Linde Graft",https://adamlink.nl/geo/street/lindengracht/2707
"Goutbloem Graft",https://adamlink.nl/geo/street/willemsstraat/5074
"Brouwers Graft",https://adamlink.nl/geo/street/brouwersgracht/623
"Haerlemmer dyck",https://adamlink.nl/geo/street/haarlemmerdijk/1626
"Prince Sluys",
"Palm Graft",https://adamlink.nl/geo/street/palmgracht/3452
"Haerlemmer Poort",https://adamlink.nl/geo/building/haarlemmerpoort/600
"Leeuwenburghs brugh",
Soutketen,https://adamlink.nl/geo/street/zoutkeetsgracht/5188
Leeuwenburgh,
"Steenen Beer",
