68,"Gouwenaers Steechjen",https://adamlink.nl/geo/street/gouwenaarssteeg/1538
69,"Holmans Steechjen",https://adamlink.nl/geo/street/holmanssteeg/7007
70,"’t Hemel-ryck",https://adamlink.nl/geo/street/groot-hemelrijk/6948
71,"’t Catte Gat",https://adamlink.nl/geo/street/kattengat/2322
71*,"’t Vagevier",https://adamlink.nl/geo/street/klein-hemelrijk/5740
72,"Teerketel Steech",https://adamlink.nl/geo/street/teerketelsteeg/4382
73,"Korsjes-poort Steech",https://adamlink.nl/geo/street/korte-korsjespoortsteeg/2474
74,"Nieuw Straet",https://adamlink.nl/geo/street/oude-nieuwstraat/3389
75,"Lynbaen Steech",https://adamlink.nl/geo/street/lijnbaanssteeg/2699
76,"Oude Huyßitten Steech",https://adamlink.nl/geo/street/nieuwe-spaarpotsteeg/3174
77,"Ian Roon Poort Steech",https://adamlink.nl/geo/street/torensteeg/4492
78,"Enghel Steech",
79,"Mole Steech",https://adamlink.nl/geo/street/korte-gasthuismolensteeg/7008
79*,"Ham Steechjen",
80,"De Hel",https://adamlink.nl/geo/street/de-hel/7009
81,"Cleine Cruys Steech",https://adamlink.nl/geo/street/kleyne-kruys-steeg/5641
82,"Cruys Steech",https://adamlink.nl/geo/street/schoorsteenvegerssteeg/4024
83,"Vyf Vliegen Steech",https://adamlink.nl/geo/street/vliegendesteeg/4778
84,"Hey Steech",https://adamlink.nl/geo/street/heisteeg/1710
85,"Cleine Waghen Straet",https://adamlink.nl/geo/street/kleine-wagenstraat/7010
86,"Waghen Straet",https://adamlink.nl/geo/street/wagenstraat/4864
87,"Wapen van Delft Steechj.",https://adamlink.nl/geo/street/wapen-van-delftsteeg/4879
88,"Melckmeysjes Steechjen",https://adamlink.nl/geo/street/melkmeisjessteeg/7011
89,"Peerde Straet",https://adamlink.nl/geo/street/paardenstraat/3439
90,"Peerde dwars-straet",https://adamlink.nl/geo/street/paardendwarsstraat/7012
91,"Backers Straet",https://adamlink.nl/geo/street/bakkersstraat/278
92,"Backers dwars-straet",https://adamlink.nl/geo/street/bakkersdwarsstraat/7013
93,"Balck in ’t Oogh Steech",https://adamlink.nl/geo/street/balk-in-t-oogsteeg/290
94,"Speulmans Steech",https://adamlink.nl/geo/street/sint-jorishofje/5913
95,"Slepers Steech",https://adamlink.nl/geo/street/sleperssteeg-bij-amstel/5904
96,"Schelvis Steech",https://adamlink.nl/geo/street/schelvissteeg/7014
97,"Halve Maen Steech",https://adamlink.nl/geo/street/halvemaansteeg/1644
98,"Houte Wambeys Steechj.",https://adamlink.nl/geo/street/houte-wambeyssteeg/7015
99,"’t Schaep Steechjen",https://adamlink.nl/geo/street/schapensteeg/3975
100,"’t Landt van beloften Steechj.",https://adamlink.nl/geo/street/land-van-beloften-steeg/5615
101,"Suyckerbackers Steechj.",https://adamlink.nl/geo/street/suikerbakkers-steeg/5461
102,"S. Pieters Steech",https://adamlink.nl/geo/street/sint-pieterssteeg/4113
103,"Blindemans Steech",https://adamlink.nl/geo/street/blindemansteeg/499
104,"Spaerpot Steech",https://adamlink.nl/geo/street/spaarpot-steegje/5617
105,"Arent Bouwen Steech",https://adamlink.nl/geo/street/arendt-bouwes-steeg/5616
106,"Vysel Straet",https://adamlink.nl/geo/street/vijzelstraat/4763
107,"Mandemaeckers Steech",https://adamlink.nl/geo/street/mandemakers-steeg/5648
108,"Geelvinck Steech",https://adamlink.nl/geo/street/geelvinckssteeg/1449
109,"Geelvinck dwars-steech",https://adamlink.nl/geo/street/geelvinck-dwarssteeg/5430
110,"Open-hart Steechjen",https://adamlink.nl/geo/street/openhartsteeg/3342
111,"Open-hart dwars-steechje",https://adamlink.nl/geo/street/openhartdwarssteeg/7016
112,"S. Ioris Straet",https://adamlink.nl/geo/street/sint-jorisstraat/4105
113,"’t Cater Steechjen",https://adamlink.nl/geo/street/katersteeg/5663
114,"Mandemaeckers Steechje",https://adamlink.nl/geo/street/mandemakerssteeg/7017
115,"Hey St.h",https://adamlink.nl/geo/street/wijde-heisteeg/5010
115*,"Goutsbl.Sth.",https://adamlink.nl/geo/street/goudsblom-steeg/5660
115**,"Vlas Steech",https://adamlink.nl/geo/street/vlasblom-steeg/5661
116*,"Buyße Straet",https://adamlink.nl/geo/street/buyssestraat/7018
116,"Spiegel Straet",https://adamlink.nl/geo/street/oude-spiegelstraat/3391
117,"Waeghdragers Steechjen",https://adamlink.nl/geo/street/waagdragerssteeg/6313
118,"Lammer Steechjen",https://adamlink.nl/geo/street/lammersteeg/7019
119,"Goude-kop Steechjen",https://adamlink.nl/geo/street/goudenkopsteeg/7020
120,"Groene kaers Steechjen",https://adamlink.nl/geo/street/groenekaarssteeg/7021
121,"Romeynschen Arm Steech",https://adamlink.nl/geo/street/romeinsarmsteeg/3871
122,"Kocks Steechjen",https://adamlink.nl/geo/street/koks-steeg/5474
123,"Treeft Steechjen",https://adamlink.nl/geo/street/treeftsteeg/4506
124,"Mole Straet",https://adamlink.nl/geo/street/gasthuismolensteeg/1439
125,"Elants Steechjen",https://adamlink.nl/geo/street/elantssteeg/7022
126,"Schilders Steechjen",https://adamlink.nl/geo/street/schilderssteeg/7023
127,"Drie Coningen Straet",https://adamlink.nl/geo/street/driekoningenstraat/1096
128,"Ham eters Steechjen",https://adamlink.nl/geo/street/hameeterssteeghje/5649
129,"Oude Lely Straet",https://adamlink.nl/geo/street/oude-leliestraat/3386
130,"Smits Steechjen",https://adamlink.nl/geo/street/smitssteeghje/5669
131,"Bergh Straet",https://adamlink.nl/geo/street/bergstraat/396
132,"Wieringer Straet",https://adamlink.nl/geo/street/wieringerstraat/6331
133,"Vißchers Straet",https://adamlink.nl/geo/street/vissersstraat/7024
134,"Brandewyn Steech",https://adamlink.nl/geo/street/brandewyns-steeg/5455
135,"’t Fraye Steechjen",https://adamlink.nl/geo/street/t-fraye-steegje/7025
136,"Rotgans Steechjen",https://adamlink.nl/geo/street/rotganssteeg/3892
137,"Heere Straet",https://adamlink.nl/geo/street/herenstraat/1770
138,"Harte Straet",https://adamlink.nl/geo/street/hartenstraat/1676
139,"Wolve Straet",https://adamlink.nl/geo/street/wolvenstraat/5124
140,"Huyde Straet",https://adamlink.nl/geo/street/huidenstraat/1913
141,"Run Straet",https://adamlink.nl/geo/street/runstraat/3912
142,"Beere Straet",https://adamlink.nl/geo/street/berenstraat/394
143,"Rhee Straet",https://adamlink.nl/geo/street/reestraat/3757
144,"Prince Straet",https://adamlink.nl/geo/street/prinsenstraat/3686
145,"Palm Straet",https://adamlink.nl/geo/street/palmstraat/3453
146,"Goutsbloem Straet",https://adamlink.nl/geo/street/goudsbloemstraat/1537
147,"Boom Straet",https://adamlink.nl/geo/street/lindenstraat/2708
148,"Kerck Straet",https://adamlink.nl/geo/street/boomstraat/543
149,"Tygel Straet",https://adamlink.nl/geo/street/karthuizersstraat/2307
150,"Angeliers Straet",https://adamlink.nl/geo/street/anjeliersstraat/168
151,"Tuyn Straet",https://adamlink.nl/geo/street/tuinstraat/4527
152,"Eglentiers Straet",https://adamlink.nl/geo/street/egelantiersstraat/1210
153,"Nieuwe Lely Straet",https://adamlink.nl/geo/street/nieuwe-leliestraat/3159
154,"Bloem Straet",https://adamlink.nl/geo/street/bloemstraat/504
154*,"Roose Straet",https://adamlink.nl/geo/street/rozenstraat/3901
155,"Laurier Straet",https://adamlink.nl/geo/street/laurierstraat/2632
156,"Elants Straet",https://adamlink.nl/geo/street/elandsstraat/1232
157,"Loyers Straet",https://adamlink.nl/geo/street/oude-looiersstraat/3387
158,"Parfumeerders Straet",https://adamlink.nl/geo/street/passeerdersstraat/3484
