"street","straatnaam","minbouwjaar"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004605","Raamdwarsstraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002562","Eerste Van der Helststraat","1875"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004789","Paardenstraat","1650"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004928","Wodanstraat","1934"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005796","Wethouder Steinmetzstraat","1985"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004717","Onbekendegracht","1879"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002401","Brigantijnkade","2008"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004567","Postjeskade","1922"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005491","Wisseloordplein","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001557","Benno Stokvisstraat","1990"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005232","Van Oldenbarneveldtstraat","1881"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004063","Kribbestraat","1935"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002916","Bestevâerstraat","1912"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004883","Wildeman","1959"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003593","Hoogwoudstraat","1949"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002635","Achter Oosteinde","1897"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003669","Gabriël Metsustraat","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011259051","Dennenhof","2010"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002633","Abrikozenstraat","1951"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003945","Kalkmarkt","1730"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001291","Willebroekstraat","1995"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001507","Sint-Hubertpad","1993"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001015","Daguerrestraat","2005"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000000980","Analoogstraat","2007"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005663","Dwarswatering","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002975","Bonaireplein","1929"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004952","Slootdorpstraat","1967"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004686","Nieuwe Wagenstraat","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003525","Henriëtte Bosmansstraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005456","Wittenburgerkade","1981"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002441","Laan van Spartaan","2009"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300001992651","Witte de Withplein","2008"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004713","Olympiastraat","1930"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005889","Hollandiagracht","2010"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002804","Egelantiersstraat","1813"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006041","Eef Kamerbeekstraat","2014"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003493","Johan Kernstraat","1955"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003855","Nicolaas Beetsstraat","1893"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001069","Poortland","2001"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004224","Luchtvaartstraat","1949"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004157","Leidsestraat","1671"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003117","Coenhavenweg","1961"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003661","Fritz Conijnstraat","1953"
